indicator,country,unit,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z,title
Average_co2_emissions_per_km_from_new_passenger_cars,Austria,Grams per kilometre,128.5,123.7,120.4,146.3,149.1,152.1,135.7,116.1,112.0,104.1,Transport,0.39,0.29,0.21,0.21,0.32,0.41,0.12,-0.35,-0.18,-0.22,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Belgium,Grams per kilometre,121.3,117.9,115.9,140.5,144.7,147.3,130.6,117.0,104.5,85.3,Transport,-0.34,-0.32,-0.35,-0.41,-0.13,-0.05,-0.3,-0.29,-0.56,-1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Bulgaria,Grams per kilometre,135.9,130.3,125.8,153.0,153.6,157.8,147.1,139.5,134.3,129.4,Transport,1.0,0.98,0.89,0.92,0.79,0.96,1.0,1.0,0.95,0.88,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Croatia,Grams per kilometre,115.8,112.8,111.5,137.1,139.7,144.7,135.2,127.9,127.3,127.1,Transport,-0.89,-0.85,-0.9,-0.77,-0.64,-0.3,0.08,0.38,0.59,0.78,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Cyprus,Grams per kilometre,129.8,125.7,123.5,148.1,149.6,153.6,151.9,145.9,136.8,126.3,Transport,0.52,0.5,0.6,0.4,0.38,0.56,1.0,1.0,1.0,0.74,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Czech Republic,Grams per kilometre,131.6,126.3,121.2,150.4,152.7,156.0,144.9,138.8,137.7,136.0,Transport,0.7,0.56,0.31,0.65,0.69,0.79,0.89,1.0,1.0,1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Denmark,Grams per kilometre,110.2,106.2,106.0,129.8,132.8,135.6,116.4,92.3,86.3,72.8,Transport,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,EU,Grams per kilometre,124.65555555555557,120.93333333333332,118.7074074074074,144.35555555555555,145.93333333333334,147.7925925925926,134.19259259259258,121.75185185185184,115.5851851851852,109.22962962962964,Transport,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Estonia,Grams per kilometre,140.9,137.2,133.9,161.0,160.5,157.7,147.6,142.6,141.6,134.6,Transport,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Finland,Grams per kilometre,127.4,123.0,120.0,143.3,141.4,139.7,120.0,98.3,85.3,60.9,Transport,0.28,0.22,0.16,-0.11,-0.46,-0.78,-1.0,-1.0,-1.0,-1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,France,Grams per kilometre,114.2,111.0,109.8,133.8,136.0,137.9,121.1,108.6,103.1,96.8,Transport,-1.0,-1.0,-1.0,-1.0,-1.0,-0.95,-1.0,-0.81,-0.63,-0.54,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Germany,Grams per kilometre,132.5,128.3,126.9,154.2,157.0,159.0,136.0,113.5,105.9,113.0,Transport,0.79,0.77,1.0,1.0,1.0,1.0,0.15,-0.51,-0.49,0.16,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Greece,Grams per kilometre,108.2,106.4,106.3,131.9,135.0,140.1,130.5,119.8,118.0,112.7,Transport,-1.0,-1.0,-1.0,-1.0,-1.0,-0.74,-0.31,-0.12,0.12,0.15,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Hungary,Grams per kilometre,133.0,129.6,125.9,152.2,155.0,157.2,141.4,133.1,131.2,127.4,Transport,0.84,0.9,0.9,0.84,0.93,0.91,0.6,0.7,0.79,0.79,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Ireland,Grams per kilometre,117.1,114.1,112.0,135.3,137.3,137.9,130.0,112.6,100.7,93.7,Transport,-0.76,-0.71,-0.84,-0.97,-0.89,-0.95,-0.35,-0.56,-0.75,-0.68,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Italy,Grams per kilometre,118.1,115.2,113.3,137.3,140.5,144.7,132.5,120.3,119.2,120.1,Transport,-0.66,-0.6,-0.68,-0.75,-0.56,-0.3,-0.14,-0.09,0.18,0.47,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Latvia,Grams per kilometre,140.4,137.1,128.9,156.1,156.1,155.0,146.8,142.6,134.6,132.1,Transport,1.0,1.0,1.0,1.0,1.0,0.69,1.0,1.0,0.96,1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Lithuania,Grams per kilometre,135.8,130.0,126.2,154.4,155.9,160.0,146.2,135.7,135.9,129.9,Transport,1.0,0.94,0.94,1.0,1.0,1.0,0.99,0.86,1.0,0.9,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Luxembourg,Grams per kilometre,129.9,127.5,126.1,153.9,159.3,161.2,143.9,123.8,115.7,105.8,Transport,0.53,0.68,0.93,1.0,1.0,1.0,0.8,0.13,0.01,-0.15,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Malta,Grams per kilometre,115.3,113.3,111.8,134.5,130.5,132.2,128.1,107.5,91.4,91.3,Transport,-0.94,-0.8,-0.87,-1.0,-1.0,-1.0,-0.5,-0.87,-1.0,-0.78,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Netherlands,Grams per kilometre,107.3,101.2,105.9,131.3,127.9,119.3,104.4,95.1,86.8,74.2,Transport,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Poland,Grams per kilometre,132.9,129.3,125.8,154.7,157.3,158.0,146.0,137.6,135.7,132.7,Transport,0.83,0.87,0.89,1.0,1.0,0.98,0.98,0.97,1.0,1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Portugal,Grams per kilometre,108.8,105.7,104.7,126.9,128.6,132.6,118.0,107.1,103.1,89.8,Transport,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9,-0.63,-0.85,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Romania,Grams per kilometre,128.2,125.0,122.0,146.2,147.3,150.7,138.5,125.6,119.7,116.2,Transport,0.36,0.42,0.41,0.2,0.14,0.28,0.36,0.24,0.21,0.3,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Slovakia,Grams per kilometre,131.7,127.6,124.8,152.8,154.7,158.0,144.6,138.0,136.8,134.9,Transport,0.71,0.69,0.76,0.9,0.9,0.98,0.86,1.0,1.0,1.0,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Slovenia,Grams per kilometre,121.3,119.2,119.0,145.0,146.5,150.0,138.6,133.7,129.1,123.6,Transport,-0.34,-0.18,0.04,0.07,0.06,0.21,0.36,0.73,0.68,0.63,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Spain,Grams per kilometre,118.6,115.3,114.4,139.4,143.1,147.0,135.5,126.0,121.5,117.5,Transport,-0.61,-0.59,-0.54,-0.53,-0.29,-0.08,0.11,0.26,0.3,0.36,Car CO₂
Average_co2_emissions_per_km_from_new_passenger_cars,Sweden,Grams per kilometre,131.0,126.3,123.1,148.2,148.1,145.1,111.7,88.3,66.6,61.0,Transport,0.64,0.56,0.55,0.41,0.22,-0.26,-1.0,-1.0,-1.0,-1.0,Car CO₂
