indicator,country,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,sector,1990_z,1991_z,1992_z,1993_z,1994_z,1995_z,1996_z,1997_z,1998_z,1999_z,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,title
Net_greenhouse_gas_emissions,Austria,Tonnes per capita,8.9,8.4,8.7,7.7,8.7,7.8,8.3,7.8,8.1,7.7,8.5,7.1,9.3,9.6,8.7,9.3,10.1,10.2,9.3,8.9,8.1,8.3,9.1,9.0,8.4,8.7,8.6,9.3,9.8,9.6,7.8,7.5,7.8,Energy consumption,-0.46,-0.44,-0.3,-0.4,-0.24,-0.39,-0.35,-0.43,-0.33,-0.4,-0.21,-0.51,-0.12,-0.13,-0.3,-0.17,-0.02,-0.01,-0.1,0.0,-0.25,-0.17,0.08,0.09,-0.03,0.06,0.01,0.12,0.23,0.34,0.15,-0.08,0.06,GHG Emissions
Net_greenhouse_gas_emissions,Belgium,Tonnes per capita,14.7,14.9,14.8,14.6,15.0,15.2,15.6,14.8,15.2,14.7,14.8,14.6,14.4,14.4,14.5,14.1,13.7,13.3,13.3,12.0,12.6,11.5,11.2,11.1,10.5,10.9,10.7,10.7,10.7,10.6,9.6,9.9,9.3,Energy consumption,0.46,0.55,0.69,0.72,0.8,1.0,1.0,0.96,1.0,1.0,1.0,0.91,0.85,0.76,0.76,0.72,0.66,0.61,0.72,0.68,0.7,0.54,0.56,0.58,0.49,0.62,0.53,0.47,0.45,0.61,0.72,0.67,0.57,GHG Emissions
Net_greenhouse_gas_emissions,Bulgaria,Tonnes per capita,9.4,7.4,6.9,6.9,6.4,6.6,6.8,6.4,6.0,5.2,5.0,5.8,5.5,6.3,6.1,6.1,6.7,7.1,7.2,6.0,6.5,7.7,7.1,6.7,7.0,7.6,7.1,7.4,6.9,6.8,5.9,6.9,7.7,Energy consumption,-0.38,-0.59,-0.59,-0.53,-0.62,-0.62,-0.63,-0.71,-0.76,-0.91,-0.89,-0.76,-0.84,-0.75,-0.77,-0.76,-0.66,-0.63,-0.53,-0.62,-0.58,-0.3,-0.38,-0.44,-0.37,-0.22,-0.37,-0.36,-0.49,-0.42,-0.46,-0.26,0.03,GHG Emissions
Net_greenhouse_gas_emissions,Croatia,Tonnes per capita,5.5,3.9,3.5,3.5,3.2,3.3,3.5,4.0,4.1,4.2,4.5,4.6,4.8,5.4,5.3,5.4,5.5,6.1,5.9,5.4,5.3,5.6,5.3,4.9,4.8,5.0,5.2,5.7,5.4,5.4,5.1,5.2,5.5,Energy consumption,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.98,-0.98,-0.97,-0.92,-0.92,-0.89,-0.89,-0.82,-0.8,-0.75,-0.83,-0.77,-0.79,-0.86,-0.91,-0.89,-0.85,-0.79,-0.86,-0.8,-0.71,-0.79,-0.72,GHG Emissions
Net_greenhouse_gas_emissions,Cyprus,Tonnes per capita,10.6,11.4,11.8,11.7,11.9,11.7,12.0,12.0,12.3,12.6,13.0,12.9,13.0,13.5,13.5,13.3,13.5,13.7,13.5,12.8,12.1,11.4,10.6,9.8,10.3,10.4,11.1,11.2,11.0,10.9,9.6,10.1,10.2,Energy consumption,-0.19,0.02,0.21,0.25,0.29,0.35,0.34,0.41,0.52,0.61,0.65,0.59,0.58,0.59,0.58,0.57,0.62,0.69,0.76,0.85,0.59,0.52,0.43,0.27,0.44,0.49,0.63,0.59,0.53,0.69,0.72,0.73,0.88,GHG Emissions
Net_greenhouse_gas_emissions,Czech Republic,Tonnes per capita,18.7,16.8,16.1,15.4,14.7,14.5,14.9,14.6,14.0,13.0,14.0,14.0,13.7,14.0,14.2,14.0,14.2,14.3,13.6,12.6,12.9,12.6,12.2,11.8,11.5,11.7,11.9,12.1,12.4,12.4,11.6,12.0,11.4,Energy consumption,1.0,0.84,0.91,0.85,0.76,0.89,0.88,0.92,0.87,0.69,0.85,0.8,0.72,0.69,0.71,0.7,0.75,0.81,0.78,0.81,0.76,0.79,0.79,0.74,0.73,0.83,0.83,0.82,0.87,1.0,1.0,1.0,1.0,GHG Emissions
Net_greenhouse_gas_emissions,Denmark,Tonnes per capita,15.6,17.5,16.5,16.6,17.2,16.6,18.9,17.1,16.3,15.8,14.9,15.1,15.1,15.9,14.8,13.9,15.4,14.5,13.5,12.7,12.5,11.4,10.4,10.6,9.9,9.2,9.7,9.2,9.4,8.6,7.7,7.7,7.4,Energy consumption,0.6,0.95,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.82,0.68,0.98,0.85,0.76,0.83,0.67,0.52,0.38,0.46,0.34,0.19,0.28,0.09,0.13,0.07,0.11,-0.01,-0.07,GHG Emissions
Net_greenhouse_gas_emissions,EU,Tonnes per capita,11.807407407407409,11.27037037037037,10.53703703703704,10.174074074074074,10.151851851851855,9.844444444444443,10.174074074074072,9.966666666666669,9.73703703703704,9.625925925925925,9.607407407407406,9.788888888888888,9.914814814814816,10.32222222222222,10.31851851851852,10.211111111111109,10.203703703703702,10.24814814814815,9.8,8.877777777777778,9.281481481481482,9.05185185185185,8.74074074074074,8.61111111111111,8.511111111111111,8.474074074074075,8.574074074074074,8.84074074074074,8.874074074074073,8.355555555555556,7.340740740740741,7.744444444444445,7.61851851851852,Energy consumption,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,GHG Emissions
Net_greenhouse_gas_emissions,Estonia,Tonnes per capita,22.4,20.8,15.0,11.1,11.9,10.5,11.2,11.0,10.2,10.1,10.0,10.9,11.3,13.4,13.1,12.1,10.9,12.6,10.9,7.7,12.4,13.6,14.0,16.3,16.3,14.4,16.4,17.2,17.9,13.6,9.5,10.2,10.7,Energy consumption,1.0,1.0,0.73,0.15,0.29,0.12,0.19,0.21,0.09,0.1,0.08,0.21,0.26,0.58,0.51,0.35,0.13,0.47,0.23,-0.25,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.76,1.0,GHG Emissions
Net_greenhouse_gas_emissions,Finland,Tonnes per capita,9.9,6.9,7.8,8.0,10.4,9.9,9.9,10.5,10.1,10.0,9.7,10.6,10.8,12.1,11.1,8.8,10.2,11.7,9.7,6.6,10.2,8.9,7.5,8.8,7.8,8.0,9.2,9.1,11.0,9.4,7.8,9.4,9.3,Energy consumption,-0.3,-0.66,-0.45,-0.35,0.04,0.01,-0.05,0.11,0.07,0.08,0.02,0.15,0.17,0.33,0.14,-0.26,-0.0,0.29,-0.02,-0.49,0.19,-0.03,-0.28,0.04,-0.17,-0.12,0.16,0.07,0.53,0.28,0.15,0.51,0.57,GHG Emissions
